"d191da76","nm0390479"
"4f9d58d0","nm0000247"
"4f9d58d0","nm0000154"
"4f9d58d0","nm0796117"
"4f9d58d0","nm0000158"
"81630981","nm1126979"
"1769753c","nm1135047"
"c95b6182","nm0000229"
"c95b6182","nm0000631"
"86c8f83a","nm0000230"
"d1c1ebde","nm0818810"
"d1c1ebde","nm0601382"
"d1c1ebde","nm1417049"
"d1c1ebde","nm0576298"
"7083fbdd","nm0000233"
"60ead974","nm0000229"
"7f51095f","nm0000217"
"7f51095f","nm0001008"
"7f51095f","nm0001486"
"7f51095f","nm0000759"
"7f51095f","nm0000399"
"23852088","nm0000233"
"4212629d","nm0923736"
"4212629d","nm0634240"
"4212629d","nm0000386"
"4212629d","nm0000116"
"db4cd002","nm0946734"
"d48be0af","nm0000229"
"d48be0af","nm0634240"
"d5cee551","nm0000186"
"d5cee551","nm0327944"
"d5cee551","nm0001392"
"d5cee551","nm0001789"
"d5cee551","nm0000040"
"d5cee551","nm0000464"
"d5cee551","nm0000264"
"d5cee551","nm0000095"
"40276087","nm0001756"
"7bd823ee","nm0680846"
"ec109056","nm0000184"
"f79b60fd","nm0000184"
"a0f37625","nm0080315"
"80d6c2e6","nm0588087"
"80d6c2e6","nm0027572"
"80d6c2e6","nm0520488"
"80d6c2e6","nm1698571"
"80d6c2e6","nm0736622"
"80d6c2e6","nm0634240"
"80d6c2e6","nm0003418"
"80d6c2e6","nm0510912"
"80d6c2e6","nm0001723"
"80d6c2e6","nm0001392"
"80d6c2e6","nm0000835"
"d21444bb","nm0000116"
"df05fdcc","nm0000184"
"df05fdcc","nm0000229"
"df05fdcc","nm0001392"
"df05fdcc","nm0000033"
"df05fdcc","nm0000165"
"db7beaed","nm0923736"
"a8ae5daa","nm0000116"
"a8ae5daa","nm0000165"
"16348be8","nm0000338"
"2d869553","nm0000233"
"2d869553","nm0942367"
"2d869553","nm0001675"
"d188f040","nm0000142"
"d188f040","nm0001392"
"63555760","nm0001309"
"a4bf5446","nm0000229"
"b3d4dff3","nm0003418"
"b3d4dff3","nm0510912"
"b3d4dff3","nm0409869"
"b3d4dff3","nm0760170"
"13930cd8","nm0477035"
"13930cd8","nm0000165"
"13930cd8","nm0000709"
"13930cd8","nm1038286"
"13930cd8","nm0610831"
"dbee2ede","nm0000184"
"dbee2ede","nm0449984"
