userId,answer,movieName,ImdbId,ImdbRate,year,numVotes
0105f80a,Pulp Fiction_1994,Pulp Fiction,tt0110912,8.9,1994,"1,131,283"
0105f80a,The Silence of the Lambs_1991,The Silence of the Lambs,tt0102926,8.6,1991,"740,937"
0105f80a,The Departed_2006,The Departed,tt0407887,8.5,2006,"740,755"
0105f80a,Shutter Island_2010,Shutter Island,tt1130884,8.1,2010,"645,191"
0105f80a,Goodfellas_1990,Goodfellas,tt0099685,8.7,1990,"626,476"
0105f80a,Taxi Driver_1976,Taxi Driver,tt0075314,8.4,1976,"431,629"
0105f80a,There Will Be Blood_2007,There Will Be Blood,tt0469494,8.1,2007,"323,185"
0105f80a,Casino_1995,Casino,tt0112641,8.2,1995,"286,195"
0105f80a,Gangs of New York_2002,Gangs of New York,tt0217505,7.5,2002,"277,271"
0105f80a,Stalker_1979,Stalker,tt0079944,8.2,1979,"57,647"
0105f80a,Solaris_1972,Solaris,tt0069293,8.1,1972,"45,616"
0105f80a,The Mirror_1975,The Mirror,tt0072443,8.2,1975,"17,786"
0105f80a,Ivan's Childhood_1962,Ivan's Childhood,tt0056111,8.1,1962,"15,529"
02ec560f,Titanic_1997,Titanic,tt0120338,7.7,1997,"685,814"
02ec560f,Interstellar_2014,Interstellar,tt0816692,8.7,2014,"624,787"
02ec560f,The Others_2001,The Others,tt0230600,7.6,2001,"242,283"
02ec560f,Hugo_2011,Hugo,tt0970179,7.6,2011,"221,453"
02ec560f,Mad Max: Fury Road_2015,Mad Max: Fury Road,tt1392190,8.7,2015,"119,462"
02ec560f,Texas Chainsaw Massacre: The Next Generation_1994,Texas Chainsaw Massacre: The Next Generation,tt0110978,3,1994,"14,013"
02ec560f,Who Am I_2014,Who Am I,tt3042408,7.5,2014,"5,347"
02ec560f,Azira: Blood from the Sand_2006,Azira: Blood from the Sand,tt0369255,6.3,2006,30
02ec560f,Glass Chin_2014,Glass Chin,tt1714843,7.4,2014,29
02ec560f,Star Wars: A Galaxy in Darkness_2009,Star Wars: A Galaxy in Darkness,tt1432993,5,2009,25
02fa6429,Inception_2010,Inception,tt1375666,8.8,2010,"1,227,049"
02fa6429,Pulp Fiction_1994,Pulp Fiction,tt0110912,8.9,1994,"1,131,283"
02fa6429,Avatar_2009,Avatar,tt0499549,7.9,2009,"783,450"
02fa6429,Sin City_2005,Sin City,tt0401792,8.1,2005,"583,515"
02fa6429,The Terminator_1984,The Terminator,tt0088247,8.1,1984,"506,173"
02fa6429,Terminator 3: Rise of the Machines_2003,Terminator 3: Rise of the Machines,tt0181852,6.4,2003,"262,916"
02fa6429,The Last Airbender_2010,The Last Airbender,tt0938283,4.3,2010,"108,041"
02fa6429,Sin City: A Dame to Kill For_2014,Sin City: A Dame to Kill For,tt0458481,6.6,2014,"83,118"
02fa6429,Dragon Ball Z: Battle of Gods_2013,Dragon Ball Z: Battle of Gods,tt2263944,7.3,2013,"13,393"
02fa6429,Dragon Ball Z: Fusion Reborn_1995,Dragon Ball Z: Fusion Reborn,tt0142236,8.1,1995,"4,473"
02fa6429,Dragon Ball Z: Broly - The Legendary Super Saiyan_1993,Dragon Ball Z: Broly - The Legendary Super Saiyan,tt0142242,7.4,1993,"4,016"
02fa6429,Dragon Ball Z: Tree of Might_1990,Dragon Ball Z: Tree of Might,tt0142233,7.2,1990,"3,533"
02fa6429,Dragon Ball Z: The World's Strongest_1990,Dragon Ball Z: The World's Strongest,tt0142240,7.1,1990,"2,807"
02fa6429,Dragon Ball Z: The Return of Cooler_1992,Dragon Ball Z: The Return of Cooler,tt0142237,7.4,1992,"2,627"
02fa6429,Dragon Ball Z: Cooler's Revenge_1991,Dragon Ball Z: Cooler's Revenge,tt1125254,7.5,1991,"2,416"
02fa6429,Dragon Ball Z: Bio-Broly_1994,Dragon Ball Z: Bio-Broly,tt0142234,6.2,1994,"1,538"
02fa6429,Dragon Ball Z: Broly - Second Coming_1994,Dragon Ball Z: Broly - Second Coming,tt0142239,6.7,1994,"1,452"
02fa6429,Dragon Ball: Curse of the Blood Rubies_1986,Dragon Ball: Curse of the Blood Rubies,tt0142251,7.2,1986,950
02fa6429,Dragon Ball: The Magic Begins_1991,Dragon Ball: The Magic Begins,tt0122050,4.2,1991,851
02fa6429,Dragon Ball Z: Resurrection 'F'_2015,Dragon Ball Z: Resurrection 'F',tt3819668,9.1,2015,836
02fa6429,Dragon Ball_1989,Dragon Ball,tt2155428,7.5,1989,221
5413182,Star Wars_1977,Star Wars,tt0076759,8.7,1977,"749,544"
